ensembl_id	c1	c2	c3	c4	c5	c6	c7	c8	t1	t2	t3	t4	t5	t6	t7	t8
ENSG00000133475.15	9	0	6	11	1	0	11	1	31	3	0	0	11	0	4	0
ENSG00000133477.15	149	5333	7944	5918	2030	2718	5271	3899	447	1914	4386	574	7336	1547	1260	2213
ENSG00000133488.13	844	8	34	423	10	1270	485	539	72	84	16	540	35	10	0	391
ENSG00000133519.11	5	156	80	118	312	445	147	305	20	19	234	77	104	12	14	6
ENSG00000133561.14	3706	459	872	330	1043	934	180	1274	1794	897	489	562	568	1789	1456	507
ENSG00000133574.8	7890	880	1394	661	1559	1184	385	1109	2270	2009	619	810	905	2230	2212	741
ENSG00000133597.8	1481	3953	1489	3758	2136	1368	2700	3643	2430	1800	3073	511	1717	1062	1129	2520
ENSG00000133606.9	3745	7047	6816	10013	6931	3763	8779	7148	6571	6890	7296	3142	7775	5757	4718	9678
ENSG00000133612.17	3342	6853	5706	9702	7596	3332	8731	17481	5563	3146	4462	2012	4713	2118	4078	7406
ENSG00000133619.16	661	1919	801	1422	1078	71	2902	476	346	714	145	360	1762	156	417	104
ENSG00000133624.12	776	1042	623	1046	725	542	1038	913	804	568	440	463	650	402	520	576
ENSG00000133627.16	156	455	323	705	805	406	269	330	488	499	224	139	308	105	228	530
ENSG00000133636.9	1	24191	90949	30	5	8	385	8	94	6	90893	28	13	242	32	44
ENSG00000133639.4	13785	8663	12086	8974	3480	2246	18441	8082	9376	11959	11486	4878	13250	11008	14076	6196
ENSG00000133640.17	23	84	88	22	116	28	32	3	12	3	20	3	147	179	10	9
ENSG00000133641.16	487	2250	2115	1010	650	1231	1404	622	1516	1169	1267	555	1625	993	1195	662
ENSG00000133657.13	7321	18857	24969	22989	10842	26571	10419	6823	42283	15114	18303	11596	15238	18905	15249	15130
ENSG00000133661.14	25	62	18	174	26	29	54	110	29	22	1	65	50	5	26	5
ENSG00000133665.11	0	4	59	65	3	0	10	3	2	41	6	0	14	1	0	1
ENSG00000133678.12	723	2173	1528	4112	202	3436	3234	2636	2168	1497	2194	1069	1844	785	805	2135
ENSG00000133687.14	1706	1963	3369	7905	1313	539	3410	1090	6354	5137	2454	1232	573	3117	1493	216
ENSG00000133703.10	1877	3463	6661	6380	3064	7455	5893	5069	14236	9600	5529	4513	7483	12869	7139	5669
ENSG00000133704.8	3259	2741	4649	6022	3690	5026	5519	8604	7511	5657	3757	3543	7602	3350	4565	3875
ENSG00000133706.16	4689	9797	8191	8990	11644	7380	9992	9168	10624	6602	7725	4143	8005	4458	5531	4898
ENSG00000133710.14	91	1018	28634	1655	667	1051	10725	1002	285	387	10356	204	216	873	590	82
ENSG00000133731.8	882	1076	1988	1568	1995	1913	1513	1004	2602	1413	1039	1303	2175	2070	1864	1207
ENSG00000133739.14	592	2823	1613	1831	2730	1413	1466	898	2867	2192	540	1398	2180	1912	1119	981
ENSG00000133740.9	803	529	664	430	1987	925	254	245	1065	590	368	789	462	685	738	1130
ENSG00000133742.12	26	2	13	1	69	62	2	1	28	0	2	5	3	22	0	58
ENSG00000133773.10	806	3720	1391	1080	906	1558	1680	866	1723	1878	1577	749	1527	2018	1326	1067
ENSG00000133789.13	3738	2664	7577	3978	2354	3000	6439	3882	7745	3479	2568	2425	5753	5702	7117	3821
ENSG00000133794.16	757	582	1824	1560	480	675	1463	997	1224	1248	766	679	2208	1157	829	1938
ENSG00000133800.7	155	94	125	163	238	83	21	116	428	68	115	70	293	1097	1175	148
ENSG00000133805.14	1094	300	3950	1485	920	916	2378	836	1235	862	649	1367	1472	2223	4708	965
ENSG00000133808.4	36	29	344	156	138	78	1184	42	59	30	134	110	622	190	192	256
ENSG00000133812.13	1971	1318	5972	5374	2905	3990	5453	4951	3766	2950	2339	3137	4431	2610	2849	2478
ENSG00000133816.12	4707	2773	2822	12183	12582	4545	7316	7167	13634	2101	4837	7141	22695	9159	18975	14009
ENSG00000133818.11	694	1876	2243	2183	188	81	4276	1193	1256	2082	1062	902	7321	2952	1156	2859
ENSG00000133835.13	3217	4986	7900	4381	7310	4485	4971	5492	8769	4289	5271	3145	3712	3552	6165	4646
ENSG00000133858.14	1986	2260	5087	2996	3377	4167	5867	2346	7734	1733	2169	4088	4591	3790	3908	2770
ENSG00000133863.5	7	524	72	17	10	13	9	3	11	165	141	1	4	1	5	261
ENSG00000133872.12	15184	24527	8567	9639	8228	13364	17303	8015	13726	17821	7823	8507	8691	9957	12917	15356
ENSG00000133874.1	646	701	430	497	382	392	629	506	1320	998	1191	252	595	268	849	448
ENSG00000133878.7	109	7	28	26	37	58	17	76	35	26	12	61	19	21	36	1
ENSG00000133884.8	3454	4983	4089	5222	4046	3802	6032	3686	4270	4867	3119	2787	5329	2798	2990	6287
ENSG00000133895.13	2103	5933	3369	4366	3317	2799	4612	3902	3791	6087	2304	1648	6885	2283	1928	5768
ENSG00000133935.6	1526	2842	2905	3363	3234	5044	4921	2593	3107	5642	2096	3235	4240	2483	2836	2749
ENSG00000133937.4	65	119	70	26	6	4	71	9	24	336	35	20	122	6	28	162
ENSG00000133943.19	2784	2210	2864	1681	5277	2118	5819	2672	3133	4470	1491	2262	2778	2166	2767	1893
ENSG00000133958.12	48	16	132	62	28	24	592	52	47	40	26	24	33	18	35	15
ENSG00000133961.18	4879	2316	7868	5515	8194	7358	13900	5219	9969	5710	3257	8003	10696	5891	7809	7594
ENSG00000133962.6	56	47	126	209	365	107	148	157	359	125	56	571	29	480	3153	932
ENSG00000133980.4	168	0	9	1	6	240	3	1	82	0	2	4	0	6	2	43
ENSG00000133983.13	633	1127	959	1016	765	868	1556	1218	1074	1804	571	541	992	704	1165	772
ENSG00000133985.2	590	197	11880	2806	1811	608	3403	1216	349	620	1957	639	1712	2315	687	1150
ENSG00000133997.10	1004	1015	1593	1498	1196	1545	1977	1468	1533	2044	736	1038	2033	1145	1260	935
ENSG00000134001.11	2779	9816	5051	5582	4852	3773	9273	3836	7003	7131	3896	3093	8687	4278	5273	3547
ENSG00000134007.3	0	5	53	4	7	8	26	12	10	6	6	4	7	7	9	5
ENSG00000134013.14	2947	5161	1203	13895	2493	2171	21876	1369	10806	2633	4297	4081	19205	1048	28836	8321
ENSG00000134014.15	1272	1614	940	1146	1204	3097	1990	1255	2160	2275	811	869	1346	1122	1402	1733
ENSG00000134020.7	16	4	9	3	2	3	0	26	11	9	4	50	6	7	0	1
ENSG00000134028.13	3716	339	1008	1110	440	638	391	312	968	1247	697	643	338	546	525	700
ENSG00000134030.12	3012	2698	1995	3348	2514	2166	1601	2699	3128	1806	1651	1571	3011	840	2549	1348
ENSG00000134042.11	15	35	28	57	18	34	20	13	59	49	61	20	151	18	209	90
